Scopus-2047-Analyze-Country

"Your query : (COTS satellite)"


Number of results : 2047

"COUNTRY/TERRITORY",
"United States","727"
"United Kingdom","199"
"China","180"
"France","178"
"Italy","170"
"Germany","167"
"Spain","130"
"Netherlands","96"
"Finland","84"
"Japan","78"
"Canada","74"
"Belgium","62"
"India","45"
"Brazil","38"
"Australia","36"
"Switzerland","35"
"Sweden","34"
"South Korea","32"
"Russian Federation","31"
"Taiwan","22"
"Austria","19"
"Norway","19"
"Poland","19"
"Greece","18"
"Singapore","18"
"Israel","16"
"Denmark","15"
"Pakistan","15"
"Portugal","15"
"Turkey","15"
"Romania","14"
"Iran","13"
"Ireland","12"
"New Zealand","12"
"South Africa","11"
"Czech Republic","10"
"Hong Kong","10"
"Mexico","8"
"Argentina","7"
"Estonia","7"
"Kenya","7"
"Algeria","6"
"Hungary","6"
"Morocco","6"
"Slovenia","6"
"Chile","5"
"Cyprus","4"
"Ecuador","4"
"Malaysia","4"
"Thailand","4"
"Belarus","3"
"Cameroon","3"
"Colombia","3"
"Mali","3"
"Saudi Arabia","3"
"Slovakia","3"
"Ukraine","3"
"Benin","2"
"Bulgaria","2"
"Egypt","2"
"Indonesia","2"
"Kazakhstan","2"
"Moldova","2"
"Nigeria","2"
"Philippines","2"
"Senegal","2"
"Serbia","2"
"United Arab Emirates","2"
"Viet Nam","2"
"Armenia","1"
"Bahrain","1"
"Bangladesh","1"
"Bolivia","1"
"Burkina Faso","1"
"Congo","1"
"Gabon","1"
"Iceland","1"
"Latvia","1"
"Macao","1"
"Malta","1"
"Niger","1"
"Peru","1"
"Russia","1"
"Syrian Arab Republic","1"
"Tanzania","1"
"Tunisia","1"
"Uganda","1"
"Venezuela","1"
"Undefined","57"
